timestamp,force_x,force_y,force_z,torque_x,torque_y,torque_z,tibia_x,tibia_y,tibia_z,tibia_qx,tibia_qy,tibia_qz,tibia_qw,femur_x,femur_y,femur_z,femur_qx,femur_qy,femur_qz,femur_qw,sensor_x,sensor_y,sensor_z,sensor_qx,sensor_qy,sensor_qz,sensor_qw
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
1752234182.048832,0.609192,-0.284141,0.339374,-0.00241452,0.0172329,-0.0190048,-0.57189,0.581342,-0.00304947,0.460731,0.759113,-0.29474,0.35299,-0.318037,0.342502,0.312867,0.563594,0.629803,-0.51022,0.159326,-0.610118,0.545328,-0.132664,0.318241,-0.0711185,0.796706,0.508845
