# Timestamp, Flexion, Adduction, Rotation, Translation_ap, Translation_ml, Translation_pd, Tx, Ty, Tz, Fx, Fy, Fz, test
0.10538649559020996, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.0929858, 0.374298, -0.132445, -0.840594, -0.610569, -1.12928,13.41415520906986
0.21244359016418457, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.0910842, 0.571769, -0.147498, -1.38648, -0.576339, -1.62439,13.41415520906986
0.3218858242034912, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, 0.0532589, 0.793615, 0.00468009, -2.04707, 0.388286, -2.17459,13.41415520906986
0.4322028160095215, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.0212129, 0.565263, -0.069736, -2.08916, 0.14077, -1.06485,13.41415520906986
0.5413358211517334, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.0657606, 0.811897, -0.13352, -2.28551, -0.366174, -2.08989,13.41415520906986
0.6515343189239502, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.157221, 0.798938, -0.235943, -2.12445, -1.01387, -2.01002,13.41415520906986
0.7622206211090088, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.404511, 0.970349, -0.594221, -3.10146, -2.6618, -2.09299,13.41415520906986
0.8697755336761475, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.37207, 0.881658, -0.528833, -2.8689, -2.24901, -1.74196,13.41415520906986
0.9773781299591064, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.222805, 0.971837, -0.336847, -3.23705, -1.26449, -1.97832,13.41415520906986
1.085378646850586, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.195649, 0.877427, -0.271873, -2.66578, -1.03353, -1.74951,13.41415520906986
1.2060251235961914, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.196619, 0.928776, -0.305447, -2.81951, -1.18811, -1.9402,13.41415520906986
1.3141465187072754, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.270725, 0.971468, -0.424022, -3.33243, -1.72609, -1.75718,13.41415520906986
1.4229843616485596, 13.41415520906986, 7.888253121879171, -43.64029091678141, 16.830268300388415, -9.540856723714725, 7.160497417443631, -0.197791, 0.98213, -0.333931, -3.4068, -1.26699, -1.70945,13.41415520906986
