# Timestamp, Flexion, Adduction, Rotation, Tx, Ty, Tz, Fx, Fy, Fz
0.021654844284057617, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.02177715301513672, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.055558204650878906, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.05568695068359375, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.07245731353759766, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.07258200645446777, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.08893299102783203, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.08906292915344238, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.10529446601867676, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.10541892051696777, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1219635009765625, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.12208747863769531, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.15559053421020508, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1557164192199707, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1725177764892578, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.17264246940612793, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.18965625762939453, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.18978285789489746, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2065751552581787, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.20670056343078613, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22280550003051758, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22292256355285645, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.25547313690185547, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.25559115409851074, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.27251434326171875, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2726311683654785, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2892911434173584, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.2894096374511719, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3059659004211426, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.30608320236206055, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.32210326194763184, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.32222437858581543, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.35734057426452637, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3574509620666504, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.37143659591674805, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3715498447418213, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3884696960449219, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.38858842849731445, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4053480625152588, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.40546417236328125, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.42186713218688965, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4219815731048584, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4551403522491455, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4552638530731201, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4718804359436035, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.47199320793151855, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.4883887767791748, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.48850369453430176, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5053796768188477, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5054936408996582, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5219211578369141, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5220358371734619, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5554318428039551, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5555598735809326, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.571544885635376, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5716590881347656, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5884714126586914, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.5885899066925049, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.6054122447967529, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.605527400970459, 88.8121510029849, 3.008936767427839, -70.6587822494038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
