# Timestamp, Flexion, Adduction, Rotation, Tx, Ty, Tz
0.03013134002685547, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.030410051345825195, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.05822396278381348, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.05844545364379883, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.07767581939697266, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.07786750793457031, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.0912017822265625, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.09133696556091309, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.10540914535522461, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.10552430152893066, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.12265801429748535, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.12277364730834961, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.15494465827941895, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.15506696701049805, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.1720447540283203, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.17215967178344727, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.1888256072998047, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.18894004821777344, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.2054295539855957, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.20554089546203613, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.23846745491027832, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.23858118057250977, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.2548210620880127, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.2549314498901367, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.272125244140625, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.27223992347717285, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.2884964942932129, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.2886073589324951, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.3054020404815674, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.3055143356323242, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.3222365379333496, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.32235097885131836, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.3551952838897705, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.35530972480773926, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.3720366954803467, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.37215399742126465, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
0.38866686820983887, 88.76711975058987, 3.0371198974701867, -70.03360293548997, 0.0, 0.0, 0.0
