timestamp,force_x,force_y,force_z,torque_x,torque_y,torque_z,tibia_x,tibia_y,tibia_z,tibia_qx,tibia_qy,tibia_qz,tibia_qw,femur_x,femur_y,femur_z,femur_qx,femur_qy,femur_qz,femur_qw,sensor_x,sensor_y,sensor_z,sensor_qx,sensor_qy,sensor_qz,sensor_qw
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
1752833095.982963,-0.00772667,0.0281854,0.00663805,-0.000282608,-0.00156313,0.000553397,-0.183253,0.469258,-0.0960404,0.331048,0.760616,-0.393188,0.396578,0.0864072,0.341213,0.31706,0.647144,0.423166,-0.612711,0.163462,-0.208316,0.45396,-0.214612,0.178767,-0.0600383,0.794275,0.577551,
