timestamp,force_x,force_y,force_z,torque_x,torque_y,torque_z,tibia_x,tibia_y,tibia_z,tibia_qx,tibia_qy,tibia_qz,tibia_qw,femur_x,femur_y,femur_z,femur_qx,femur_qy,femur_qz,femur_qw,sensor_x,sensor_y,sensor_z,sensor_qx,sensor_qy,sensor_qz,sensor_qw
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
1752833086.003047,0.0816669,3.30525,0.596699,0.0147091,0.0637763,-0.0212053,-0.183698,0.462872,-0.102919,0.321306,0.756757,-0.40167,0.403414,0.0864699,0.341182,0.317137,0.647189,0.423018,-0.61275,0.16352,-0.208774,0.443602,-0.221062,0.167895,-0.0499277,0.794129,0.58196
