timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1751360261.601884,-5.61207,4.22197,1.02033,-0.022301,0.058617,0.087818,-0.074835,0.236795,0.0729593,0.144002,0.48986,-0.512907,0.690092,0.0907911,0.350209,0.481526,0.597861,0.596855,-0.466275,0.262513,-0.0357294,0.159451,0.0708632,-0.118097,0.297022,0.826049,0.464191,
1751360261.611992,-5.54694,4.20923,1.0069,-0.022289,0.057675,0.087714,-0.0748344,0.236795,0.0729623,0.144149,0.48995,-0.512866,0.690027,0.0907805,0.350235,0.481499,0.598372,0.596068,-0.466375,0.262961,-0.0357273,0.159373,0.0708238,-0.117233,0.296707,0.825949,0.464789,
1751360261.621861,-5.54387,4.18978,1.0265,-0.022484,0.057891,0.087817,-0.0748406,0.236789,0.0729648,0.14411,0.489955,-0.512867,0.690032,0.0907884,0.350234,0.481495,0.598347,0.59611,-0.466301,0.263054,-0.0357319,0.159441,0.0708596,-0.118032,0.297035,0.826032,0.464231,
1751360261.631975,-5.61352,4.19648,1.01388,-0.022692,0.058378,0.087763,-0.0748384,0.23679,0.0729641,0.144149,0.489966,-0.512783,0.690078,0.0907971,0.350225,0.481495,0.598503,0.596014,-0.466391,0.262756,-0.0357371,0.159411,0.0708254,-0.117461,0.296945,0.826054,0.464394,
1751360261.641965,-5.57941,4.18324,1.02015,-0.022684,0.058016,0.087757,-0.0748437,0.236789,0.0729674,0.144103,0.490009,-0.512835,0.690018,0.0907878,0.35023,0.481491,0.598356,0.596037,-0.466425,0.26298,-0.035731,0.15943,0.0708341,-0.117592,0.296934,0.82612,0.46425,
1751360261.651876,-5.56426,4.14894,1.05297,-0.023388,0.057728,0.087617,-0.0748629,0.236882,0.0729305,0.145302,0.489254,-0.514006,0.689431,0.0907937,0.350224,0.481497,0.598515,0.59599,-0.466408,0.262755,-0.0357981,0.159441,0.0709185,-0.118599,0.296228,0.826458,0.463843,
1751360261.661968,-5.62683,4.20639,1.01376,-0.022379,0.058896,0.087505,-0.0748473,0.236788,0.0729661,0.143949,0.489893,-0.512934,0.69006,0.0907742,0.350234,0.481497,0.598355,0.596051,-0.466411,0.262974,-0.0357285,0.159442,0.0708352,-0.117627,0.296914,0.826171,0.464163,
1751360261.671873,-5.63396,4.15616,1.02064,-0.02316,0.059213,0.087571,-0.0748452,0.236792,0.0729599,0.144125,0.48995,-0.512828,0.690061,0.0907634,0.350242,0.481496,0.598328,0.596088,-0.466405,0.262962,-0.0357303,0.159444,0.0708315,-0.117625,0.29693,0.826152,0.464188,
1751360261.681909,-5.57698,4.21768,1.01392,-0.022494,0.058493,0.087646,-0.0748449,0.236791,0.0729597,0.144081,0.489931,-0.512849,0.690068,0.0907662,0.350244,0.481498,0.598319,0.59611,-0.46633,0.263065,-0.0357292,0.159438,0.0708293,-0.117575,0.29687,0.826143,0.464254,
1751360261.691875,-5.61146,4.24859,1.02671,-0.0219,0.058866,0.087365,-0.0748725,0.236762,0.0729694,0.143852,0.4898,-0.513292,0.68988,0.0907632,0.350241,0.481501,0.598367,0.596043,-0.466414,0.262961,-0.0357282,0.159385,0.0708272,-0.117275,0.296668,0.825986,0.464738,
