-0.00342, -0.16377, 0.01057, 0.98643
-0.00170, -0.06234, -0.00753, 0.99802
0.06188, -0.30127, 0.02403, 0.95122
0.10940, -0.13222, 0.01086, 0.98510
0.10480, -0.32930, 0.04153, 0.93747
-0.03373, -0.37756, -0.01698, 0.92521
0.10028, -0.24129, 0.01947, 0.96506
0.09997, -0.24002, 0.02521, 0.96528
0.00476, -0.06034, 0.00160, 0.99816
0.08370, -0.34577, 0.03246, 0.93402
0.09563, -0.20965, 0.01801, 0.97292
0.07568, -0.27550, 0.02844, 0.95789
0.01568, -0.36034, 0.00801, 0.93265
-0.00584, -0.21434, -0.01446, 0.97663
0.14994, 0.44251, -0.07754, 0.88073
-0.06334, 0.46016, 0.03498, 0.88488
-0.06933, 0.45978, 0.03803, 0.88450
