Timestamp,Fx,Fy,Fz,Tx,Ty,Tz,FemurPosX,FemurPosY,FemurPosZ,FemurQuatW,FemurQuatX,FemurQuatY,FemurQuatZ,TibiaPosX,TibiaPosY,TibiaPosZ,TibiaQuatW,TibiaQuatX,TibiaQuatY,TibiaQuatZ,Flexion,Adduction,Rotation,Anterior_Posterior,Medial_Lateral,Proximal_Distal,Medial_Joint_Gap,Lateral_Joint_Gap,force_x,force_y,force_z,torque_x,torque_y,torque_z,tibia_x,tibia_y,tibia_z,tibia_qx,tibia_qy,tibia_qz,tibia_qw,femur_x,femur_y,femur_z,femur_qx,femur_qy,femur_qz,femur_qw,sensor_x,sensor_y,sensor_z,sensor_qx,sensor_qy,sensor_qz,sensor_qw
0.0205316543579101,-3.2659720166046835,7.799606783274983,-12.913541526407307,-0.7247249728624326,-1.0471108897879235,-0.0192196296343774,-0.304442,0.267689,0.26403,0.306431,0.659033,0.396922,-0.560561,-0.501656,0.249435,-0.282601,0.616416,0.315151,0.503628,-0.516788,37.64470204001818,-2.6852652301552578,11.989551466257392,4.250279227943876,-5.487977086628579,-10.207713143064634,10.233606270656429,22.085476044152887,-4.79478,-8.44391,-0.311553,-2.60117,-1.01815,-0.571293,0.136956,-0.293792,0.135754,0.47112,-0.54452,0.680525,-0.326123,0.269483,0.247784,0.646054,0.399111,-0.573737,0.30684,-0.591851,0.0206671,-0.32658,-0.0955732,0.372283,0.804656,0.452549,
0.0215065479278564,-3.2659720166046835,7.799606783274983,-12.913541526407307,-0.7247249728624326,-1.0471108897879235,-0.0192196296343774,-0.304442,0.267689,0.26403,0.306431,0.659033,0.396922,-0.560561,-0.501656,0.249435,-0.282601,0.616416,0.315151,0.503628,-0.516788,37.64470204001818,-2.6852652301552578,11.989551466257392,4.250279227943876,-5.487977086628579,-10.207713143064634,10.233606270656429,22.085476044152887,0.561144,-12.1026,1.24259,-3.69757,-1.23845,-0.539913,0.249368,-0.286985,0.288599,0.537241,-0.447994,0.653746,-0.323351,0.269685,0.25117,0.651439,0.403343,-0.56281,0.310137,-0.559691,0.155144,-0.362474,-0.0374532,0.200956,0.851742,0.482441,
0.0336878299713134,-6.291282765248151,12.458872171609327,-7.682358157863389,-1.2960246284891834,-1.5173778679580745,-1.3391357355706557,-0.304399,0.268056,0.262304,0.299593,0.649843,0.409222,-0.566115,-0.561101,0.347438,-0.209035,0.545696,0.377522,0.654005,-0.363276,14.211280046040024,-3.803043518265624,0.9299334732451764,0.6087522590689325,5.455592041389533,-0.1118870959109159,2.514980503090998,6.887590616072158,-0.120001,-7.6244,-0.292153,-2.00447,-0.369267,-0.464324,0.183744,-0.313778,0.28713,0.423445,-0.534406,0.672801,-0.322213,0.269079,0.251769,0.679056,0.360788,-0.539615,0.342827,-0.492589,0.080192,-0.370631,-0.108627,0.255557,0.777776,0.563875,
0.0346796512603759,-6.291282765248151,12.458872171609327,-7.682358157863389,-1.2960246284891834,-1.5173778679580745,-1.3391357355706557,-0.304399,0.268056,0.262304,0.299593,0.649843,0.409222,-0.566115,-0.561101,0.347438,-0.209035,0.545696,0.377522,0.654005,-0.363276,14.211280046040024,-3.803043518265624,0.9299334732451764,0.6087522590689325,5.455592041389533,-0.1118870959109159,2.514980503090998,6.887590616072158,-6.7119,-10.6538,0.241743,1.03047,2.53368,-0.451026,0.391042,-0.201491,0.521399,0.570951,-0.396603,0.494837,-0.30055,0.264406,0.267336,0.675527,0.387808,-0.551267,0.298954,-0.487959,0.35553,-0.308453,0.119322,-0.0239097,0.773328,0.622218,
0.0429415702819824,-3.191527606841789,7.937078375242275,-13.005307758301154,-0.7280850628810537,-1.046561837604122,-0.0275675399798693,-0.304458,0.267657,0.264069,0.305709,0.658919,0.397623,-0.560593,-0.501712,0.249434,-0.282626,0.616581,0.315321,0.503715,-0.516403,37.7159054980622,-2.596517085035371,11.999478050821324,4.750898575537351,-5.744824121014567,-10.485647472660052,10.585286577996191,22.611216363087085,-2.25125,-5.45735,-0.481151,-0.393813,-0.384112,-0.515208,0.272486,-0.283692,0.350484,0.530507,-0.48184,0.602954,-0.324143,0.269223,0.25086,0.662168,0.386194,-0.553795,0.325112,-0.550321,0.188187,-0.36384,0.00933669,0.176267,0.810705,0.558212,
0.0430672168731689,10.527224029908536,-6.731650716196641,-8.0757157704841,3.3436532324285024,0.0505610307954388,-3.997714488957033,-0.307352,0.271503,0.264232,0.352111,0.676951,0.368677,-0.530879,-0.438165,-0.0818627,-0.213346,0.749077,-0.0889985,0.168763,-0.634414,97.62139134384228,-3.942420814495257,2.095807497993613,-3.512058540361771,-5.585960121365616,-35.30269638166324,42.261853357082096,46.85684985063352,-2.25125,-5.45735,-0.481151,-0.393813,-0.384112,-0.515208,0.272486,-0.283692,0.350484,0.530507,-0.48184,0.602954,-0.324143,0.269223,0.25086,0.662168,0.386194,-0.553795,0.325112,-0.550321,0.188187,-0.36384,0.00933669,0.176267,0.810705,0.558212,
0.0438992977142334,-3.191527606841789,7.937078375242275,-13.005307758301154,-0.7280850628810537,-1.046561837604122,-0.0275675399798693,-0.304458,0.267657,0.264069,0.305709,0.658919,0.397623,-0.560593,-0.501712,0.249434,-0.282626,0.616581,0.315321,0.503715,-0.516403,37.7159054980622,-2.596517085035371,11.999478050821324,4.750898575537351,-5.744824121014567,-10.485647472660052,10.585286577996191,22.611216363087085,-4.57735,-20.9477,-4.22301,-0.133416,0.485473,-0.518278,0.296235,-0.273024,0.344639,0.553628,-0.492343,0.576471,-0.310469,0.262991,0.258944,0.688029,0.36094,-0.549149,0.307852,-0.561731,0.215269,-0.350593,0.0684619,0.201768,0.804752,0.554055,
0.0440285205841064,10.527224029908536,-6.731650716196641,-8.0757157704841,3.3436532324285024,0.0505610307954388,-3.997714488957033,-0.307352,0.271503,0.264232,0.352111,0.676951,0.368677,-0.530879,-0.438165,-0.0818627,-0.213346,0.749077,-0.0889985,0.168763,-0.634414,97.62139134384228,-3.942420814495257,2.095807497993613,-3.512058540361771,-5.585960121365616,-35.30269638166324,42.261853357082096,46.85684985063352,-4.57735,-20.9477,-4.22301,-0.133416,0.485473,-0.518278,0.296235,-0.273024,0.344639,0.553628,-0.492343,0.576471,-0.310469,0.262991,0.258944,0.688029,0.36094,-0.549149,0.307852,-0.561731,0.215269,-0.350593,0.0684619,0.201768,0.804752,0.554055,
0.061453104019165,-9.117698600989096,10.53988486292984,-22.276010275579072,-1.164787895458756,-2.131525877712097,-0.4003441820774523,-0.304854,0.27145,0.266108,0.363452,0.684983,0.356187,-0.521376,-0.462005,0.0625669,-0.29178,0.745939,0.0728913,0.409143,-0.520446,61.43283327559151,-4.739600260242545,-7.393071288759824,8.158826569606102,-1.365250243728024,-19.937640933344323,33.837418211479125,32.95561697358902,-4.75574,-8.77394,-0.0468684,-2.74412,-0.976974,-0.561597,0.135159,-0.29663,0.136558,0.460058,-0.538228,0.692827,-0.326415,0.269804,0.24827,0.647507,0.400813,-0.568815,0.310697,-0.581903,0.0182259,-0.329328,-0.105653,0.368105,0.801762,0.458819,
0.0624580383300781,-9.117698600989096,10.53988486292984,-22.276010275579072,-1.164787895458756,-2.131525877712097,-0.4003441820774523,-0.304854,0.27145,0.266108,0.363452,0.684983,0.356187,-0.521376,-0.462005,0.0625669,-0.29178,0.745939,0.0728913,0.409143,-0.520446,61.43283327559151,-4.739600260242545,-7.393071288759824,8.158826569606102,-1.365250243728024,-19.937640933344323,33.837418211479125,32.95561697358902,-2.76215,-6.23005,-0.605745,-0.985302,-0.0984165,-0.494787,0.272169,-0.278818,0.36306,0.51484,-0.497358,0.596458,-0.309804,0.267938,0.258696,0.662827,0.391067,-0.561001,0.304968,-0.53542,0.194551,-0.360267,0.0034626,0.180264,0.794541,0.579825,
